用户ID,用户姓名,商品ID,商品名称,商品类别,单价,购买时间,购买数量,消费金额,用户城市,用户性别,用户年龄
U3027,俞世晨,P24177,牛仔裤,服装,149.55,2024-06-26 09:13:36,3,448.65,深圳,男,44
U2696,水雄泽,P65635,羽毛球拍,运动,837.36,2024-03-21 07:44:00,1,837.36,北京,女,42
U6626,水明富,P59786,显示器,电子产品,5867.53,2024-04-17 04:41:04,3,17602.59,武汉,男,51
U9028,和波毅,P57458,化妆刷套装,美妆,823.32,2024-07-02 10:55:16,5,4116.6,上海,男,42
U8319,童邦,P39352,篮球,运动,996.79,2024-11-12 17:03:03,3,2990.37,苏州,男,61
U4737,江康,P30159,毛绒玩具,玩具,153.85,2024-12-20 12:01:20,2,307.7,苏州,男,47
U2994,经涛磊,P83399,羽绒服,服装,315.51,2024-02-08 03:46:02,4,1262.04,重庆,男,62
U6815,钱东松,P23167,粉底液,美妆,988.84,2024-05-09 23:06:38,2,1977.68,南京,女,65
U5339,王松裕,P64784,连衣裙,服装,165.57,2024-10-21 13:12:00,2,331.14,北京,男,53
U8252,何波,P52427,收纳盒,家居,2072.95,2024-01-09 20:43:06,1,2072.95,武汉,男,25
U1462,贲雄,P24469,跑步鞋,运动,889.99,2024-05-26 20:46:06,3,2669.97,南京,女,65
U5386,陶浩松,P40507,沙发,家居,183.28,2024-10-21 12:15:05,3,549.84,重庆,女,47
U7127,江琛,P18817,餐桌,家居,2726.41,2024-04-12 09:56:54,2,5452.82,西安,女,51
U2871,葛永文,P22183,人物传记,书籍,511.39,2024-12-21 00:19:26,4,2045.56,广州,女,47
U7943,康朋顺,P84640,卫衣,服装,394.83,2024-10-08 21:25:33,2,789.66,武汉,女,37
U8793,姚义先,P97561,跳绳,运动,835.87,2024-03-30 16:49:36,3,2507.61,武汉,男,57
U7038,柏宏裕,P59552,洗发水,美妆,928.37,2024-06-21 23:17:52,1,928.37,上海,男,27
U8433,赵仁博,P93308,山地车,运动,228.02,2024-06-20 16:46:25,2,456.04,广州,男,31
U5954,项航树,P47148,羽毛球拍,运动,955.56,2024-04-18 18:46:29,1,955.56,苏州,女,64
U2189,钱子言,P39245,科幻小说,书籍,199.66,2024-11-04 06:25:42,4,798.64,广州,女,38
U2890,费群伦,P27407,智能手表,电子产品,5844.94,2024-03-12 11:41:51,4,23379.76,成都,男,27
U2892,戚胜榕,P41894,抱枕,家居,4996.94,2024-05-08 04:08:35,3,14990.82,重庆,男,48
U9968,解康,P21556,卫衣,服装,411.76,2024-06-17 08:26:29,5,2058.8,苏州,女,18
U7334,项进,P18588,跑步鞋,运动,325.94,2024-01-10 08:53:07,4,1303.76,杭州,女,19
U9109,刁天东,P49164,变形金刚,玩具,494.57,2024-09-09 09:03:51,3,1483.71,武汉,女,25
U3503,凌心宏,P36798,香水,美妆,547.15,2024-03-29 09:04:11,4,2188.6,武汉,女,44
U9363,傅伟安,P29689,充电宝,电子产品,7894.39,2024-09-27 04:24:50,1,7894.39,北京,女,19
U9474,卫平固,P72269,夹克,服装,402.69,2024-07-19 18:08:33,5,2013.45,南京,男,57
U2057,赵康,P28243,桌游,玩具,939.83,2024-03-07 19:01:29,3,2819.49,成都,女,60
U9117,苏腾鸣,P24441,羽绒服,服装,634.4,2024-05-29 14:52:27,3,1903.2,成都,男,40
U6864,柳宏政,P23662,牛仔裤,服装,677.03,2024-07-26 01:53:51,4,2708.12,南京,女,54
U8717,丁俊全,P45729,卫衣,服装,209.25,2024-09-04 01:50:15,5,1046.25,苏州,男,44
U8086,汤泰敬,P43428,羽绒服,服装,314.94,2024-12-25 14:23:54,3,944.82,天津,男,57
U2985,郑邦裕,P15200,哑铃,运动,115.84,2024-07-06 11:30:01,2,231.68,成都,女,29
U2969,夏士,P27150,拼图,玩具,432.21,2024-08-27 03:51:09,4,1728.84,上海,男,61
U6135,缪军,P74816,智能手表,电子产品,1830.18,2024-04-30 07:06:37,1,1830.18,杭州,男,41
U1224,史勇行,P87772,T恤,服装,168.94,2024-04-04 20:05:56,2,337.88,广州,女,27
U3625,雷永,P16065,跳绳,运动,285.45,2024-04-08 19:09:07,5,1427.25,天津,男,57
U8480,童志河,P14168,防晒霜,美妆,87.29,2024-07-17 20:34:29,2,174.58,武汉,男,49
U5284,钱辰东,P62735,篮球,运动,678.16,2024-11-10 04:02:13,5,3390.8,重庆,男,49
U5523,喻坚超,P78347,香水,美妆,453.41,2024-10-07 03:04:08,5,2267.05,武汉,女,60
U5938,郎善,P46687,篮球,运动,854.01,2024-06-14 14:53:49,2,1708.02,广州,男,30
U6126,廉彪达,P68063,时尚杂志,书籍,419.37,2024-03-10 14:54:22,5,2096.85,苏州,男,59
U4490,祁元致,P22045,显示器,电子产品,6827.55,2024-03-08 13:13:53,2,13655.1,武汉,男,63
U4693,王力武,P69069,收纳盒,家居,3822.17,2024-05-30 18:43:41,4,15288.68,上海,女,24
U2593,金超心,P66265,防晒霜,美妆,812.04,2024-12-13 06:01:27,4,3248.16,武汉,女,54
U5612,何家,P39746,T恤,服装,122.76,2024-03-02 10:05:00,3,368.28,成都,女,61
U7496,穆岩河,P65781,羽绒服,服装,248.08,2024-01-20 05:32:31,2,496.16,杭州,女,65
U5657,汪若庆,P85621,变形金刚,玩具,821.33,2024-03-07 10:54:58,2,1642.66,广州,男,56
U1353,卞承辉,P11591,抱枕,家居,1881.05,2024-03-06 04:52:30,4,7524.2,北京,男,36
U5761,邓福功,P89075,香水,美妆,574.79,2024-02-18 18:46:07,4,2299.16,重庆,男,60
U2581,宋航,P81637,餐桌,家居,486.3,2024-07-02 22:12:08,1,486.3,深圳,男,63
U9436,奚伦,P25898,跳绳,运动,299.42,2024-01-29 21:31:11,4,1197.68,苏州,女,47
U4736,邹亮,P77030,收纳盒,家居,1277.78,2024-05-24 18:59:17,3,3833.34,西安,女,33
U4254,纪时鸣,P67102,运动鞋,服装,370.5,2024-08-21 13:36:39,4,1482.0,深圳,男,42
U2371,赵顺保,P30231,历史书籍,书籍,899.4,2024-11-09 08:08:42,1,899.4,武汉,男,37
U2518,高言,P88645,山地车,运动,791.15,2024-10-31 16:04:39,4,3164.6,杭州,女,38
U8483,刁伟福,P43792,桌游,玩具,609.3,2024-10-20 01:58:06,2,1218.6,苏州,男,35
U7469,常旭,P18886,蓝牙耳机,电子产品,2641.36,2024-09-05 13:47:19,3,7924.08,成都,女,48
U1282,元轮,P10229,瑜伽垫,运动,46.74,2024-08-28 11:01:08,5,233.7,上海,男,45
U1106,朱斌时,P42188,漫画,书籍,711.37,2024-11-19 12:04:19,1,711.37,成都,男,26
U5282,刁河言,P65203,抱枕,家居,4873.87,2024-06-08 07:19:54,5,24369.35,武汉,女,28
U5708,孔厚敬,P25861,智能手表,电子产品,4531.33,2024-09-20 17:27:00,3,13593.99,重庆,男,50
U4508,纪弘飞,P49274,夹克,服装,198.27,2024-12-21 09:28:13,5,991.35,广州,男,18
U9258,施利航,P72116,T恤,服装,393.62,2024-12-10 02:12:07,1,393.62,上海,女,44
U7723,狄宏克,P31613,跑步鞋,运动,170.85,2024-01-23 02:24:41,2,341.7,广州,男,39
U5090,高博朗,P31760,卫衣,服装,174.26,2024-07-03 23:40:31,3,522.78,南京,女,46
U7239,钱峰朗,P60356,乐高积木,玩具,428.54,2024-12-28 20:20:11,4,1714.16,苏州,女,29
U7546,谢栋旭,P34597,防晒霜,美妆,636.11,2024-05-04 18:42:26,3,1908.33,武汉,男,56
U2627,祝波,P92494,显示器,电子产品,7292.52,2024-12-13 05:37:47,3,21877.56,武汉,女,46
U1171,蒋明江,P95769,办公椅,家居,1600.32,2024-06-10 21:00:58,5,8001.6,武汉,男,53
U5554,沈风邦,P87379,洗发水,美妆,749.18,2024-10-12 04:18:12,3,2247.54,成都,女,26
U3774,蓝茂冠,P46343,连衣裙,服装,200.08,2024-12-04 20:50:07,4,800.32,成都,男,43
U4822,强彬,P26103,香水,美妆,75.74,2024-06-09 23:11:00,2,151.48,深圳,女,35
U9999,戚成山,P66635,口红,美妆,426.33,2024-06-11 02:03:22,1,426.33,西安,男,64
U6241,诸杰,P93308,化妆刷套装,美妆,761.98,2024-01-20 10:59:56,2,1523.96,北京,男,61
U5157,唐厚进,P18071,充电宝,电子产品,739.28,2024-04-05 03:33:15,5,3696.4,上海,女,35
U9766,江宏家,P12024,牛仔裤,服装,509.09,2024-04-14 20:18:06,2,1018.18,武汉,男,31
U1238,乐全豪,P57916,平板电脑,电子产品,9398.05,2024-07-01 09:48:32,4,37592.2,上海,女,56
U6940,罗林安,P18428,篮球,运动,602.14,2024-01-16 10:59:49,4,2408.56,武汉,女,64
U4822,汪利志,P40180,拼图,玩具,454.84,2024-07-17 07:05:47,1,454.84,北京,男,48
U7766,宋信,P22527,洗发水,美妆,306.52,2024-12-18 12:44:45,3,919.56,重庆,男,36
U6068,任冠,P74710,防晒霜,美妆,179.81,2024-10-30 23:02:29,5,899.05,杭州,女,33
U4696,湛旭福,P48854,运动鞋,服装,592.97,2024-04-26 16:16:37,5,2964.85,北京,男,24
U5087,汪江腾,P22063,羽毛球拍,运动,688.99,2024-12-15 10:19:52,5,3444.95,南京,女,52
U2250,贺武,P49790,漫画,书籍,200.05,2024-03-07 21:16:44,4,800.2,杭州,男,39
U7267,石龙飞,P28898,运动鞋,服装,241.23,2024-11-03 12:34:15,5,1206.15,深圳,男,57
U3164,颜晨,P33797,粉底液,美妆,854.31,2024-08-04 23:25:07,4,3417.24,西安,女,41
U2491,钱东翰,P23946,粉底液,美妆,98.92,2024-10-31 17:47:12,3,296.76,武汉,女,49
U1557,蒋鸣庆,P59042,时尚杂志,书籍,122.62,2024-03-13 15:41:06,5,613.1,天津,女,52
U4396,章仁翔,P64620,抱枕,家居,1365.75,2024-09-07 06:01:28,1,1365.75,南京,男,29
U7897,郭建航,P65386,台灯,家居,599.56,2024-08-03 00:46:11,5,2997.8,天津,男,55
U7099,闵航,P17500,篮球,运动,758.37,2024-09-01 21:11:47,2,1516.74,重庆,女,57
U5130,赵轮壮,P87169,运动鞋,服装,887.89,2024-03-18 21:29:42,4,3551.56,北京,男,45
U7639,孔行,P96769,沙发,家居,2411.79,2024-06-02 16:14:16,1,2411.79,北京,男,55
U6696,卢伟有,P46403,山地车,运动,982.38,2024-04-10 12:33:24,3,2947.14,重庆,女,44
U7024,郁伟,P67265,桌游,玩具,681.47,2024-08-24 10:49:05,1,681.47,南京,男,58
U9982,邹义东,P61741,四件套,家居,1299.34,2024-01-11 17:45:46,5,6496.7,苏州,男,41
U3241,宣健飞,P62495,羽绒服,服装,82.82,2024-04-20 02:22:52,1,82.82,北京,男,18
U5299,苗义克,P89193,漫画,书籍,202.08,2024-06-30 10:47:38,2,404.16,西安,女,60
U6000,汤宏昌,P49120,技术教材,书籍,96.0,2024-08-23 23:33:16,4,384.0,北京,男,39
U7279,岑浩茂,P30855,沙发,家居,1052.68,2024-10-04 00:23:42,4,4210.72,重庆,男,38
U4822,昝海鹏,P58189,口红,美妆,504.42,2024-03-31 00:19:32,1,504.42,武汉,女,25
U3789,奚义,P66767,篮球,运动,81.57,2024-05-06 16:33:29,5,407.85,成都,女,55
U4871,霍勇梁,P69192,拼图,玩具,258.0,2024-05-17 07:45:11,4,1032.0,西安,女,49
U2275,舒友磊,P99644,技术教材,书籍,270.24,2024-12-14 04:14:45,5,1351.2,重庆,女,34
U8055,邹义伟,P93289,四件套,家居,668.25,2024-03-01 08:17:45,1,668.25,天津,女,42
U8804,韩俊磊,P98042,四件套,家居,1584.24,2024-02-17 23:56:17,3,4752.72,北京,男,49
U4213,唐腾功,P85790,篮球,运动,80.77,2024-03-30 02:18:33,4,323.08,北京,男,48
U1372,禹群策,P91381,智能手机,电子产品,4575.79,2024-11-24 18:38:39,1,4575.79,上海,男,53
U8524,龚群坚,P17429,充电宝,电子产品,9524.58,2024-01-29 01:12:28,3,28573.74,深圳,男,48
U6904,萧奇浩,P84972,芭比娃娃,玩具,296.99,2024-11-27 21:28:26,1,296.99,杭州,女,60
U1341,凤茂,P39703,充电宝,电子产品,7145.4,2024-12-12 11:05:04,1,7145.4,北京,女,24
U7364,康言,P14431,桌游,玩具,792.71,2024-04-17 16:10:41,4,3170.84,北京,女,18
U5019,裘新顺,P41891,智能手表,电子产品,4167.24,2024-04-27 00:46:33,1,4167.24,武汉,男,60
U7388,汪中,P75589,遥控车,玩具,508.3,2024-10-18 03:32:27,2,1016.6,广州,男,19
U3762,张俊,P10578,心理学,书籍,179.68,2024-11-26 22:23:37,4,718.72,武汉,男,29
U3790,姚清兴,P94535,乐高积木,玩具,141.71,2024-08-31 15:03:06,2,283.42,成都,女,30
U8644,廉民会,P87373,智能手机,电子产品,8237.27,2024-02-25 13:36:06,4,32949.08,上海,男,19
U9988,水子策,P68792,乐高积木,玩具,541.2,2024-06-06 10:53:32,1,541.2,重庆,女,61
U4102,缪和梁,P96469,芭比娃娃,玩具,759.0,2024-09-13 18:22:05,4,3036.0,武汉,女,57
U1592,房博,P43149,抱枕,家居,4036.9,2024-01-13 13:02:00,2,8073.8,南京,男,28
U9072,梅敬翰,P70760,跳绳,运动,435.54,2024-03-14 08:07:06,5,2177.7,广州,男,27
U4264,和清翔,P19947,抱枕,家居,2881.36,2024-10-20 15:01:41,4,11525.44,上海,女,43
U3472,夏致彪,P62011,蓝牙耳机,电子产品,9811.8,2024-07-25 17:44:03,1,9811.8,重庆,女,18
U7006,杨策山,P22725,瑜伽垫,运动,545.35,2024-10-13 04:12:09,1,545.35,南京,女,18
U7895,邱彪有,P15323,羽绒服,服装,967.67,2024-12-04 22:51:09,5,4838.35,武汉,女,32
U6494,蒋胜建,P86092,乐高积木,玩具,367.59,2024-03-01 14:13:13,4,1470.36,天津,男,46
U2511,骆政政,P39391,运动鞋,服装,575.37,2024-10-05 13:10:41,3,1726.11,天津,男,39
U5501,卞伦顺,P18478,夹克,服装,290.82,2024-01-10 05:03:49,4,1163.28,武汉,女,19
U9821,时清,P66568,历史书籍,书籍,362.4,2024-04-24 06:57:10,5,1812.0,苏州,女,55
U3765,尤策邦,P74894,T恤,服装,815.95,2024-08-17 23:25:52,3,2447.85,上海,女,60
U1619,计生固,P98589,充电宝,电子产品,1244.25,2024-01-19 00:19:24,4,4977.0,广州,女,30
U9550,水琛伯,P41612,充电宝,电子产品,9331.6,2024-11-15 08:07:50,2,18663.2,西安,女,30
U7482,强岩,P30347,洗发水,美妆,867.08,2024-08-05 09:58:25,2,1734.16,南京,男,64
U2546,闵军,P80775,办公椅,家居,2766.33,2024-05-25 22:22:15,4,11065.32,重庆,男,34
U8328,汤朋涛,P89589,瑜伽垫,运动,784.5,2024-12-01 05:35:09,5,3922.5,杭州,女,30
U4936,郁哲,P30571,篮球,运动,38.97,2024-10-05 12:52:36,5,194.85,成都,女,62
U8214,强言永,P34837,粉底液,美妆,435.35,2024-12-19 08:38:14,1,435.35,成都,女,42
U1378,凌福,P39739,历史书籍,书籍,935.15,2024-07-06 04:27:26,3,2805.45,天津,女,19
U7840,皮腾兴,P56954,智能手机,电子产品,3090.17,2024-06-18 01:30:23,4,12360.68,北京,男,51
U5109,滕俊林,P13332,办公椅,家居,3514.55,2024-09-26 13:55:44,4,14058.2,上海,男,46
U7167,袁乐斌,P57922,跳绳,运动,305.22,2024-12-25 07:01:29,4,1220.88,北京,女,46
U8041,袁永,P50581,变形金刚,玩具,944.11,2024-10-08 14:27:51,1,944.11,深圳,女,36
U6503,姜功民,P35509,收纳盒,家居,878.43,2024-06-02 03:49:39,2,1756.86,杭州,女,40
U2434,皮国宁,P74804,沙发,家居,3303.28,2024-06-29 12:20:55,3,9909.84,上海,男,52
U6378,滕达,P92362,香水,美妆,780.49,2024-06-09 04:58:32,4,3121.96,深圳,男,35
U3465,成政栋,P20086,智能手机,电子产品,4801.85,2024-08-22 23:27:37,4,19207.4,北京,女,37
U7483,俞和平,P94801,沙发,家居,1160.33,2024-06-10 08:39:16,3,3480.99,上海,女,60
U9027,常庆,P95899,台灯,家居,2101.11,2024-01-14 02:32:36,4,8404.44,深圳,男,41
U5028,吕会清,P46313,变形金刚,玩具,134.84,2024-01-31 16:08:06,2,269.68,深圳,男,56
U3063,麻伯仁,P18756,牛仔裤,服装,372.55,2024-05-07 03:49:06,1,372.55,广州,男,30
U9964,史冠,P74038,技术教材,书籍,350.13,2024-01-16 06:07:13,4,1400.52,杭州,女,24
U2188,湛友功,P57944,抱枕,家居,2796.76,2024-10-11 16:57:58,4,11187.04,成都,女,51
U4736,邱诚,P55172,防晒霜,美妆,750.63,2024-01-29 15:09:55,3,2251.89,苏州,男,53
U3221,张民士,P51210,心理学,书籍,168.92,2024-07-02 11:01:23,1,168.92,天津,女,55
U4005,郑之信,P69504,桌游,玩具,821.37,2024-04-16 20:02:45,1,821.37,广州,女,51
U3539,褚弘邦,P68739,平板电脑,电子产品,1031.68,2024-01-06 14:33:59,4,4126.72,深圳,女,34
U1619,虞博家,P58382,运动鞋,服装,959.25,2024-04-06 10:37:41,3,2877.75,杭州,女,51
U8345,童广学,P28498,沙发,家居,666.7,2024-05-18 07:40:42,2,1333.4,杭州,男,65
U5065,房坚,P47980,抱枕,家居,1918.89,2024-11-16 17:54:25,2,3837.78,武汉,男,26
U9723,孔辉炎,P28012,跑步鞋,运动,897.26,2024-11-16 01:23:33,2,1794.52,天津,女,30
U9847,蒋才,P30150,四件套,家居,1480.22,2024-03-07 06:05:15,2,2960.44,武汉,女,27
U9118,孟强,P77038,笔记本电脑,电子产品,9076.57,2024-11-20 05:04:34,3,27229.71,武汉,男,63
U1704,路敬政,P69093,卫衣,服装,203.03,2024-01-15 14:13:28,5,1015.15,北京,女,20
U6803,薛朗,P70811,山地车,运动,714.23,2024-03-28 02:00:41,3,2142.69,上海,男,26
U2569,平勇裕,P63525,心理学,书籍,195.88,2024-06-14 09:21:26,2,391.76,北京,男,54
U9554,何飞健,P77357,遥控车,玩具,65.12,2024-02-17 07:21:45,3,195.36,广州,女,38
U6576,盛胜,P96392,遥控车,玩具,656.67,2024-07-08 00:09:54,4,2626.68,苏州,男,39
U5919,苏天平,P94059,洗发水,美妆,256.94,2024-07-21 05:34:40,3,770.82,北京,男,51
U1620,郁岩翰,P77293,瑜伽垫,运动,721.23,2024-07-23 01:04:57,1,721.23,广州,女,56
U4268,尤奇明,P86397,漫画,书籍,339.93,2024-08-13 13:04:20,1,339.93,苏州,女,21
U6528,鲁义,P11418,运动鞋,服装,192.45,2024-09-07 11:14:22,5,962.25,武汉,女,35
U2390,颜子,P49639,沙发,家居,976.46,2024-02-11 11:22:56,4,3905.84,西安,女,18
U1567,黄盛建,P67594,化妆刷套装,美妆,878.24,2024-11-27 13:48:54,4,3512.96,深圳,女,36
U3260,钱磊,P14420,四件套,家居,3333.73,2024-01-23 02:24:46,1,3333.73,杭州,男,63
U4980,贾敬钧,P97538,运动鞋,服装,235.32,2024-01-05 13:09:51,3,705.96,天津,女,37
U9063,贲致超,P61007,芭比娃娃,玩具,139.76,2024-06-25 17:19:13,5,698.8,武汉,女,30
U2483,应绍中,P66751,显示器,电子产品,5972.27,2024-12-07 20:14:56,1,5972.27,天津,女,28
U9263,冯奇浩,P30788,跑步鞋,运动,374.84,2024-11-14 10:08:35,3,1124.52,北京,女,53
U1706,俞翰永,P27184,跳绳,运动,863.81,2024-07-30 22:29:16,4,3455.24,南京,女,62
U2556,华永言,P98395,办公椅,家居,1623.41,2024-01-20 15:29:42,2,3246.82,北京,男,28
U8282,屈利才,P70931,羽绒服,服装,433.07,2024-05-14 08:44:12,2,866.14,天津,男,32
U3268,石河,P35566,遥控车,玩具,589.22,2024-12-25 17:07:39,4,2356.88,重庆,男,46
U5036,韩心俊,P37799,台灯,家居,1130.52,2024-09-23 04:14:19,3,3391.56,深圳,女,23
U4798,洪家岩,P85834,时尚杂志,书籍,197.25,2024-05-29 18:27:39,4,789.0,南京,男,33
U5935,酆祥明,P44549,科幻小说,书籍,212.08,2024-10-01 11:32:08,2,424.16,广州,女,23
U7752,雷涛冠,P47207,口红,美妆,616.14,2024-11-14 23:35:31,4,2464.56,成都,男,62
U8395,徐河,P48282,乐高积木,玩具,836.03,2024-09-20 23:07:29,1,836.03,南京,男,24
U7177,毕宏发,P31589,拼图,玩具,395.54,2024-11-14 01:07:49,2,791.08,苏州,男,41
U2304,席辰朗,P11174,办公椅,家居,3891.16,2024-04-05 09:31:24,4,15564.64,杭州,女,20
U1849,萧建博,P56450,瑜伽垫,运动,460.5,2024-07-29 01:05:16,3,1381.5,天津,女,50
U6270,伏谦,P10543,技术教材,书籍,988.91,2024-10-18 08:57:59,3,2966.73,天津,男,24
U5886,韩健永,P31069,山地车,运动,431.3,2024-10-17 20:06:19,4,1725.2,苏州,女,21
U5998,邵庆军,P72012,抱枕,家居,942.13,2024-07-13 04:09:53,1,942.13,南京,男,25
U9218,宣伦广,P35396,技术教材,书籍,679.82,2024-06-14 20:37:25,4,2719.28,重庆,女,25
U2835,张博会,P80977,人物传记,书籍,951.53,2024-10-25 14:41:11,3,2854.59,广州,女,48
U4083,邓世德,P98129,心理学,书籍,344.39,2024-09-23 11:22:09,4,1377.56,深圳,男,47
U6207,卞坚力,P34726,跳绳,运动,980.06,2024-06-12 02:32:17,4,3920.24,杭州,男,35
U3345,皮全建,P55800,笔记本电脑,电子产品,6347.55,2024-06-13 08:07:56,2,12695.1,西安,女,26
U1967,郭发,P66994,智能手机,电子产品,5521.12,2024-11-26 01:27:46,1,5521.12,北京,女,61
U1988,胡辉保,P63251,漫画,书籍,432.62,2024-04-27 13:47:35,5,2163.1,苏州,女,64
U8872,雷群克,P34292,四件套,家居,1584.51,2024-01-17 08:04:28,3,4753.53,北京,女,42
U6812,石亨家,P65237,牛仔裤,服装,452.23,2024-10-17 01:35:32,1,452.23,成都,女,20
U7750,严善浩,P99897,芭比娃娃,玩具,657.87,2024-02-24 04:23:41,2,1315.74,上海,女,26
U9989,严山宁,P28340,乐高积木,玩具,947.55,2024-05-01 23:24:33,3,2842.65,北京,女,60
U5514,钟涛承,P48017,时尚杂志,书籍,870.21,2024-09-11 16:05:21,2,1740.42,杭州,女,30
U4933,闵健冠,P43711,充电宝,电子产品,4803.02,2024-04-30 18:32:32,1,4803.02,上海,男,40
U5210,苏武全,P15285,瑜伽垫,运动,511.14,2024-02-12 03:55:34,3,1533.42,深圳,女,23
U4076,酆敬涛,P69854,历史书籍,书籍,130.88,2024-05-13 02:42:48,3,392.64,苏州,女,32
U5403,花义,P57258,连衣裙,服装,410.72,2024-02-21 08:30:29,3,1232.16,西安,男,64
U1948,戴子功,P86408,抱枕,家居,461.87,2024-05-17 03:21:58,1,461.87,武汉,男,32
U2254,杜士,P17941,化妆刷套装,美妆,710.15,2024-09-30 03:21:51,4,2840.6,成都,男,26
U9317,毕安,P72976,技术教材,书籍,986.37,2024-06-01 02:46:18,1,986.37,成都,男,22
U5806,金友军,P55486,办公椅,家居,4974.17,2024-11-07 11:14:09,1,4974.17,上海,男,18
U5794,冯伯善,P81267,智能手表,电子产品,8037.42,2024-12-17 14:41:45,5,40187.1,成都,女,59
U8301,和星,P92037,香水,美妆,212.47,2024-06-28 16:52:19,2,424.94,苏州,男,52
U6357,伍浩善,P94550,香水,美妆,270.84,2024-05-25 07:58:25,1,270.84,上海,男,43
U9347,唐江富,P72052,收纳盒,家居,2552.85,2024-02-06 12:31:00,4,10211.4,成都,男,33
U5824,苏晨康,P84661,技术教材,书籍,133.45,2024-04-29 21:15:38,5,667.25,杭州,男,41
U4085,沈进,P52501,洗发水,美妆,219.47,2024-06-12 20:01:39,3,658.41,天津,女,25
U6175,麻岩思,P62153,餐桌,家居,2836.92,2024-03-25 23:03:16,1,2836.92,成都,女,39
U7545,庞建良,P65150,笔记本电脑,电子产品,4416.27,2024-06-19 22:31:14,3,13248.81,上海,女,20
U8014,谢楠河,P92534,跑步鞋,运动,261.04,2024-10-26 15:08:21,3,783.12,成都,女,52
U3233,贺达,P91367,遥控车,玩具,783.81,2024-09-23 06:41:07,4,3135.24,北京,男,50
U1474,柏致邦,P23626,芭比娃娃,玩具,223.22,2024-08-25 16:29:57,1,223.22,南京,男,36
U7400,颜晨武,P56900,四件套,家居,993.89,2024-08-07 03:56:54,5,4969.45,北京,女,31
U8052,包时,P45140,心理学,书籍,209.44,2024-04-28 17:07:14,3,628.32,南京,女,26
U3561,郭兴,P24343,充电宝,电子产品,8227.25,2024-01-21 09:55:20,3,24681.75,西安,男,59
U4434,姜腾德,P17028,时尚杂志,书籍,693.63,2024-11-03 06:33:29,1,693.63,北京,女,54
U5159,曹发广,P39354,充电宝,电子产品,1756.62,2024-11-08 17:25:00,2,3513.24,上海,女,60
U9691,孔信,P30155,历史书籍,书籍,353.45,2024-01-17 12:47:57,4,1413.8,苏州,男,19
U7089,罗雄盛,P67341,香水,美妆,440.27,2024-08-05 12:37:31,4,1761.08,杭州,男,39
U5328,沈豪利,P52373,历史书籍,书籍,604.32,2024-06-06 01:44:56,3,1812.96,武汉,男,53
U3646,伏昌,P25284,面霜,美妆,404.5,2024-01-19 13:44:59,2,809.0,西安,男,48
U6229,吉思时,P80090,跳绳,运动,573.01,2024-06-06 02:30:12,3,1719.03,杭州,女,61
U3241,岑武壮,P55311,智能手机,电子产品,6275.34,2024-03-06 05:15:20,3,18826.02,成都,女,34
U5586,范安中,P52048,山地车,运动,462.1,2024-10-10 10:18:45,2,924.2,苏州,女,19
U1983,包盛,P97102,化妆刷套装,美妆,352.96,2024-07-25 00:14:23,1,352.96,南京,男,59
U2053,邵厚,P99623,抱枕,家居,1014.34,2024-04-20 00:29:54,4,4057.36,武汉,男,60
U7566,伍松,P22635,夹克,服装,357.36,2024-08-14 05:34:57,4,1429.44,成都,女,63
U8953,元以言,P18863,变形金刚,玩具,610.8,2024-08-29 23:50:46,2,1221.6,上海,男,51
U1940,康昌坚,P43846,跳绳,运动,761.45,2024-09-15 19:06:13,1,761.45,成都,男,53
U3430,卜亨,P57574,智能手表,电子产品,9836.13,2024-04-20 06:30:47,4,39344.52,重庆,男,40
U4565,臧涛,P85772,智能手机,电子产品,2388.21,2024-01-26 20:42:54,3,7164.63,成都,女,40
U7641,包博,P33319,沙发,家居,4949.75,2024-01-10 04:46:51,5,24748.75,深圳,男,64
U5697,万刚福,P60672,山地车,运动,788.88,2024-03-10 07:33:52,3,2366.64,北京,男,37
U7794,薛生,P10511,T恤,服装,573.97,2024-04-22 19:48:49,2,1147.94,南京,女,36
U4362,余豪清,P81759,历史书籍,书籍,98.93,2024-05-06 02:23:30,4,395.72,重庆,女,32
U5757,解顺,P81324,沙发,家居,1090.2,2024-07-26 19:45:56,1,1090.2,杭州,女,53
U7432,朱轮善,P93749,漫画,书籍,74.84,2024-11-28 21:57:29,2,149.68,武汉,女,56
U9590,孙信学,P25035,毛绒玩具,玩具,72.21,2024-05-07 02:55:43,4,288.84,天津,男,25
U8074,黄新厚,P50905,变形金刚,玩具,186.07,2024-11-17 23:36:27,1,186.07,广州,男,30
U3030,何家伯,P54949,运动鞋,服装,633.75,2024-01-02 20:34:28,4,2535.0,北京,男,31
U2872,水辉德,P80295,科幻小说,书籍,159.94,2024-09-02 19:35:51,4,639.76,武汉,男,20
U3731,屈达绍,P41808,羽毛球拍,运动,21.2,2024-12-08 17:32:24,5,106.0,广州,男,48
U4722,童致贵,P85956,变形金刚,玩具,285.71,2024-12-06 09:41:04,4,1142.84,武汉,男,19
U4531,窦彬固,P41008,人物传记,书籍,751.82,2024-01-03 17:00:23,2,1503.64,天津,女,22
U2623,计炎武,P11680,羽毛球拍,运动,515.32,2024-12-14 17:07:41,3,1545.96,重庆,女,53
U2852,蓝盛克,P68261,沙发,家居,4229.7,2024-05-27 04:04:10,1,4229.7,天津,男,55
